match_id,date,giornata,team,opponent,is_home,team_score,opp_score,result,n_periods,team_fga,team_fgm,team_fta,team_oreb,team_dreb,team_tov,opp_fga,opp_fgm,opp_fta,opp_oreb,opp_dreb,opp_tov,team_pace,opp_pace,game_pace
53373,30/11/2025,8,RMB Brixia Basket San Paolo,Umana Reyer Venezia,False,55,69,L,4,64.0,21.0,6.0,9.0,27.0,14.0,63.0,26.0,16.0,13.0,33.0,15.0,70.8,72.2,71.5
53374,30/11/2025,8,Geas Sesto San Giovanni,Alama San Martino di Lupari,True,82,70,W,4,57.0,29.0,17.0,10.0,32.0,15.0,68.0,26.0,16.0,11.0,18.0,8.0,68.8,71.5,70.2
53374,30/11/2025,8,Alama San Martino di Lupari,Geas Sesto San Giovanni,False,70,82,L,4,68.0,26.0,16.0,11.0,18.0,8.0,57.0,29.0,17.0,10.0,32.0,15.0,71.5,68.8,70.2
53375,29/11/2025,8,Autosped G Castelnuovo Scrivia,People Strategy Roseto,True,86,77,W,4,72.0,32.0,18.0,18.0,22.0,10.0,60.0,30.0,12.0,10.0,24.0,17.0,71.6,72.2,71.9
53375,29/11/2025,8,People Strategy Roseto,Autosped G Castelnuovo Scrivia,False,77,86,L,4,60.0,30.0,12.0,10.0,24.0,17.0,72.0,32.0,18.0,18.0,22.0,10.0,72.2,71.6,71.9
53376,03/12/2025,9,RMB Brixia Basket San Paolo,O.ME.P.S. Battipaglia,True,75,71,W,4,68.0,30.0,11.0,12.0,27.0,15.0,62.0,25.0,11.0,12.0,28.0,20.0,75.6,74.7,75.2
53376,03/12/2025,9,O.ME.P.S. Battipaglia,RMB Brixia Basket San Paolo,False,71,75,L,4,62.0,25.0,11.0,12.0,28.0,20.0,68.0,30.0,11.0,12.0,27.0,15.0,74.7,75.6,75.2
53377,03/12/2025,9,People Strategy Roseto,Alama San Martino di Lupari,True,86,69,W,4,72.0,35.0,4.0,12.0,26.0,16.0,70.0,28.0,17.0,19.0,27.0,19.0,77.6,77.5,77.5
53377,03/12/2025,9,Alama San Martino di Lupari,People Strategy Roseto,False,69,86,L,4,70.0,28.0,17.0,19.0,27.0,19.0,72.0,35.0,4.0,12.0,26.0,16.0,77.5,77.6,77.5
53378,03/12/2025,9,Logiman Broni,Umana Reyer Venezia,True,45,66,L,4,60.0,19.0,5.0,9.0,29.0,20.0,65.0,23.0,14.0,15.0,32.0,12.0,72.6,67.8,70.2
53378,03/12/2025,9,Umana Reyer Venezia,Logiman Broni,False,66,45,W,4,65.0,23.0,14.0,15.0,32.0,12.0,60.0,19.0,5.0,9.0,29.0,20.0,67.8,72.6,70.2
53379,03/12/2025,9,Famila Wuber Schio,Autosped G Castelnuovo Scrivia,True,79,66,W,4,61.0,31.0,10.0,7.0,29.0,16.0,59.0,23.0,12.0,7.0,22.0,16.0,73.7,72.8,73.2
